"trace_id","platform_time","Side","Role","Platform rate/-s","Platform asset","Exchange rate/-s","Exchange asset","fee_difference"
"9191823750013219120","2024-03-23 02:34:20.360697","Bid","Maker","-0.001113515219525880","aux","-0.0011135152195258802","base","0.0000000000000000002"
"9203803204076221782","2024-03-23 14:40:41.761665","Bid","Maker","-0.000616264827230531","aux","-0.0006162648272305312","base","0.0000000000000000002"
"9203598969792501616","2024-03-23 14:28:18.990491","Ask","Maker","-0.001061840577840836","aux","-0.0010618405778408358","quote","0.0000000000000000002"
"9202749871936561926","2024-03-23 13:36:49.225343","Bid","Maker","-0.001051812989772878","aux","-0.0010518129897728782","base","0.0000000000000000002"
"9201238318325555543","2024-03-23 12:05:11.194497","Ask","Maker","-0.001112872756712994","aux","-0.00111287275671299419","quote","0.00000000000000000019"
"9211177353687232759","2024-03-23 22:07:50.094455","Bid","Maker","-0.000618661787767904","aux","-0.00061866178776790381","base","0.00000000000000000019"
"9191824024890922518","2024-03-23 02:34:22.338662","Ask","Maker","-0.001402235937719175","aux","-0.00140223593771917519","quote","0.00000000000000000019"
"9191055741143834833","2024-03-23 01:47:46.167219","Bid","Maker","-0.001158993923979087","aux","-0.00115899392397908718","base","0.00000000000000000018"
"9204438446919718265","2024-03-23 15:19:12.965871","Ask","Maker","-0.001038876448893572","aux","-0.00103887644889357218","quote","0.00000000000000000018"
"9205779301349910366","2024-03-23 16:40:30.57116","Ask","Maker","-0.001104348395546824","aux","-0.00110434839554682383","quote","0.00000000000000000017"
"9191281690782904000","2024-03-23 02:01:28.496549","Bid","Maker","-0.001114023618726276","aux","-0.00111402361872627583","base","0.00000000000000000017"
"9200758381502296539","2024-03-23 11:36:04.043154","Bid","Maker","-0.001092782608695652","aux","-0.00109278260869565217","base","0.00000000000000000017"
"9191806707585133414","2024-03-23 02:33:18.606096","Bid","Maker","-0.000678898006303404","aux","-0.00067889800630340383","base","0.00000000000000000017"
"9190901534636479098","2024-03-23 01:38:25.577745","Ask","Maker","-0.001422666477755738","aux","-0.00142266647775573816","quote","0.00000000000000000016"
"9203215789989607576","2024-03-23 14:05:04.237945","Ask","Maker","-0.000620113775691817","aux","-0.00062011377569181685","quote","0.00000000000000000015"
"9202944485496956341","2024-03-23 13:48:37.655849","Ask","Maker","-0.001084653007270324","aux","-0.00108465300727032385","quote","0.00000000000000000015"
"9202945035252971029","2024-03-23 13:48:39.807286","Ask","Maker","-0.000977395902181097","aux","-0.00097739590218109715","quote","0.00000000000000000015"
"9205350216938167701","2024-03-23 16:14:30.308921","Bid","Maker","-0.001344621970495258","aux","-0.00134462197049525815","base","0.00000000000000000015"
"9197307014500996881","2024-03-23 08:06:50.080226","Ask","Maker","-0.001113901805251641","aux","-0.00111390180525164113","quote","0.00000000000000000013"
"9208732039826812975","2024-03-23 19:39:32.554303","Bid","Maker","-0.001099070341958133","aux","-0.00109907034195813287","base","0.00000000000000000013"
"9206080017779645022","2024-03-23 16:58:45.067297","Bid","Maker","-0.001129076015727392","aux","-0.00112907601572739187","base","0.00000000000000000013"
"9201785325362966179","2024-03-23 12:38:20.897458","Bid","Maker","-0.001119884065785926","aux","-0.00111988406578592612","base","0.00000000000000000012"
"9203803204078962347","2024-03-23 14:40:41.222057","Bid","Maker","-0.000608741619391439","aux","-0.00060874161939143888","base","0.00000000000000000012"
"9202129197621864894","2024-03-23 12:59:11.040596","Bid","Maker","-0.001118877141327623","aux","-0.00111887714132762312","base","0.00000000000000000012"
"9206333455211325305","2024-03-23 17:14:06.97086","Ask","Maker","-0.001139375899515897","aux","-0.00113937589951589689","quote","0.00000000000000000011"
"9205905195432961174","2024-03-23 16:48:09.117965","Ask","Maker","-0.001121235571878279","aux","-0.00112123557187827911","quote","0.00000000000000000011"
"9197839727887907916","2024-03-23 08:39:06.324245","Bid","Maker","-0.001371783909302008","aux","-0.00137178390930200791","base","0.00000000000000000009"
"9211048985704352055","2024-03-23 22:00:02.520319","Bid","Maker","-0.001092338393090814","aux","-0.00109233839309081392","base","0.00000000000000000008"
"9199475251433912115","2024-03-23 10:18:17.989916","Ask","Maker","-0.001127524204702628","aux","-0.00112752420470262793","quote","0.00000000000000000007"
"9206129495803898983","2024-03-23 17:01:44.964211","Bid","Maker","-0.000620821863940228","aux","-0.00062082186394022807","base","0.00000000000000000007"
"9191282240536408126","2024-03-23 02:01:30.227078","Bid","Maker","-0.001030089988751406","aux","-0.00103008998875140607","base","0.00000000000000000007"
